Quận/Huyện,Tên đường/Làng xã,Đoạn: Từ - Đến,VT1,VT2,VT3,VT4,VT5,Loại,Trang
Quận 2,"ĐƯỜNG SỐ 25, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 29, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 26, 28 PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 25, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 27, PHƯỜNG BÌNH AN","TRẦN NÃO - ĐƯỜNG SỐ 25, PHƯỜNG BÌNH AN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 29, PHƯỜNG BÌNH AN",TRẦN NÃO - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 30, PHƯỜNG BÌNH AN",TRẦN NÃO - KHU DÂN CƯ DỰ ÁN CÔNG TY PHÚ NHUẬN,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 30B, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 30, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 31, PHƯỜNG BÌNH AN",TRẦN NÃO - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 32, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 31, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 33, PHƯỜNG BÌNH AN",TRẦN NÃO - KHU DÂN CƯ DỰ ÁN HÀ QUANG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 34, PHƯỜNG BÌNH AN","TRẦN NÃO - ĐƯỜNG SỐ 39, PHƯỜNG BÌNH AN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 34, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 39, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 35, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 34, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 36, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 41, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 37, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 38, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 38, PHƯỜNG BÌNH AN",TRỌN ĐƯỜNG -,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 39, PHƯỜNG BÌNH AN",TRỌN ĐƯỜNG -,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 40, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 37, PHƯỜNG BÌNH AN - ĐƯỜNG SỐ 39, PHƯỜNG BÌNH AN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 41, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 38, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 45, PHƯỜNG BÌNH AN","LƯƠNG ĐỊNH CỦA - ĐƯỜNG SỐ 47, PHƯỜNG BÌNH AN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 46, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 45, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 47, PHƯỜNG BÌNH AN",ĐƯỜNG VÀNH ĐAI TÂY (DỰ ÁN 131) - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐẶNG HỮU PHỔ, PHƯỜNG THẢO ĐIỀN","THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN - ĐƯỜNG 39, PHƯỜNG THẢO ĐIỀN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐỖ QUANG, PHƯỜNG THẢO ĐIỀN",XUÂN THỦY - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 4, PHƯỜNG THẢO ĐIỀN (KHU BÁO CHÍ)","THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 6, PHƯỜNG THẢO ĐIỀN",TRỌN ĐƯỜNG -,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 8, PHƯỜNG THẢO ĐIỀN",LÊ THƯỚC - CUỐI ĐƯỜNG,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 9, PHƯỜNG THẢO ĐIỀN",LÊ THƯỚC - CUỐI ĐƯỜNG,8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 10, PHƯỜNG THẢO ĐIỀN",VÕ TRƯỜNG TOẢN - CUỐI ĐƯỜNG,10.500.000,5.250.000,4.200.000,3.360.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 11, PHƯỜNG THẢO ĐIỀN",VÕ TRƯỜNG TOẢN - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 12, PHƯỜNG THẢO ĐIỀN",VÕ TRƯỜNG TOẢN - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 16, PHƯỜNG THẢO ĐIỀN",TRỌN ĐƯỜNG -,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 39, PHƯỜNG THẢO ĐIỀN",XUÂN THỦY - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 40, PHƯỜNG THẢO ĐIỀN",NGUYỄN VĂN HƯỞNG - CUỐI ĐƯỜNG,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 41, PHƯỜNG THẢO ĐIỀN",QUỐC HƯƠNG - NGUYỄN BÁ HUÂN,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 42, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 41, PHƯỜNG THẢO ĐIỀN - ĐƯỜNG 48, PHƯỜNG THẢO ĐIỀN",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 43, PHƯỜNG THẢO ĐIỀN",TRỌN ĐƯỜNG -,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 44, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 41, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 46, PHƯỜNG THẢO ĐIỀN",QUỐC HƯƠNG - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 47, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 59, PHƯỜNG THẢO ĐIỀN - ĐƯỜNG 66, PHƯỜNG THẢO ĐIỀN",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 48, 59 PHƯỜNG THẢO ĐIỀN",TRỌN ĐƯỜNG -,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 49B, PHƯỜNG THẢO ĐIỀN",XUÂN THỦY - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 50, PHƯỜNG THẢO ĐIỀN",XUÂN THỦY - LÊ VĂN MIẾN,7.400.000,3.700.000,2.960.000,2.368.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 54, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 49B, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 55, PHƯỜNG THẢO ĐIỀN",ĐƯỜNG 41 - CUỐI ĐƯỜNG,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 56, PHƯỜNG THẢO ĐIỀN",TRỌN ĐƯỜNG -,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 57, PHƯỜNG THẢO ĐIỀN",ĐƯỜNG 44 - CUỐI ĐƯỜNG,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 58, PHƯỜNG THẢO ĐIỀN",ĐƯỜNG 55 - CUỐI ĐƯỜNG,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 60, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 59, PHƯỜNG THẢO ĐIỀN - ĐƯỜNG 61, PHƯỜNG THẢO ĐIỀN",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 61, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 47, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 62, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 61, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 63, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 64, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 64, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 66, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 65, PHƯỜNG THẢO ĐIỀN",QUỐC HƯƠNG - CUỐI ĐƯỜNG,7.500.000,3.750.000,3.000.000,2.400.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 66, PHƯỜNG THẢO ĐIỀN","QUỐC HƯƠNG - ĐƯỜNG 47, PHƯỜNG THẢO ĐIỀN",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 1, PHƯỜNG THẢO ĐIỀN (KHU BÁO CHÍ)","THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 2, PHƯỜNG THẢO ĐIỀN (KHU BÁO CHÍ)","THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 4, PHƯỜNG THẢO ĐIỀN",NGUYỄN Ư DĨ - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 5, KP 1, PHƯỜNG THẢO ĐIỀN",NGUYỄN Ư DĨ - CUỐI ĐƯỜNG,8.100.000,4.050.000,3.240.000,2.592.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG 5, PHƯỜNG THẢO ĐIỀN (KHU BÁO CHÍ)",TRỌN ĐƯỜNG -,8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"LÊ THƯỚC, PHƯỜNG THẢO ĐIỀN","XA LỘ HÀ NỘI - ĐƯỜNG 12, PHƯỜNG THẢO ĐIỀN",8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"LÊ VĂN MIẾN, PHƯỜNG THẢO ĐIỀN","QUỐC HƯƠNG - THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"NGÔ QUANG HUY, PHƯỜNG THẢO ĐIỀN","QUỐC HƯƠNG - THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN",8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"NGUYỄN BÁ HUÂN, PHƯỜNG THẢO ĐIỀN",XUÂN THỦY - CUỐI ĐƯỜNG,8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"NGUYỄN BÁ LÂN, PHƯỜNG THẢO ĐIỀN",XUÂN THỦY - XA LỘ HÀ NỘI,8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"NGUYỄN CỪ, PHƯỜNG THẢO ĐIỀN",XUÂN THỦY - CUỐI ĐƯỜNG,8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"NGUYỄN ĐĂNG GIAI, PHƯỜNG THẢO ĐIỀN","THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"NGUYỄN DUY HIỆU, PHƯỜNG THẢO ĐIỀN",THẢO ĐIỀN - CUỐI ĐƯỜNG,8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"NGUYỄN Ư DĨ, PHƯỜNG THẢO ĐIỀN",TRẦN NGỌC DIỆN - CUỐI ĐƯỜNG,8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"NGUYỄN VĂN HƯỞNG, PHƯỜNG THẢO ĐIỀN","ĐƯỜNG 4, PHƯỜNG THẢO ĐIỀN (KHU BÁO CHÍ) - CUỐI ĐƯỜNG",9.200.000,4.600.000,3.680.000,2.944.000,-,Đất ở đô thị,1
Quận 2,"QUỐC HƯƠNG, PHƯỜNG THẢO ĐIỀN","XA LỘ HÀ NỘI - ĐƯỜNG 47, PHƯỜNG THẢO ĐIỀN",9.200.000,4.600.000,3.680.000,2.944.000,-,Đất ở đô thị,1
Quận 2,"THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN","XA LỘ HÀ NỘI - ĐƯỜNG 4, PHƯỜNG THẢO ĐIỀN (KHU BÁO CHÍ)",14.600.000,7.300.000,5.840.000,4.672.000,-,Đất ở đô thị,1
Quận 2,"TỐNG HỮU ĐỊNH, PHƯỜNG THẢO ĐIỀN","QUỐC HƯƠNG - THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN",8.400.000,4.200.000,3.360.000,2.688.000,-,Đất ở đô thị,1
Quận 2,"TRẦN NGỌC DIỆN, PHƯỜNG THẢO ĐIỀN","THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",9.200.000,4.600.000,3.680.000,2.944.000,-,Đất ở đô thị,1
Quận 2,"TRÚC ĐƯỜNG, PHƯỜNG THẢO ĐIỀN (KHU BÁO CHÍ)","THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",10.200.000,5.100.000,4.080.000,3.264.000,-,Đất ở đô thị,1
Quận 2,VÕ TRƯỜNG TOẢN,XA LỘ HÀ NỘI - CUỐI ĐƯỜNG,9.600.000,4.800.000,3.840.000,3.072.000,-,Đất ở đô thị,2
Quận 2,XA LỘ HÀ NỘI,CHÂN CẦU SÀI GÒN - CẦU RẠCH CHIẾC,14.400.000,7.200.000,5.760.000,4.608.000,-,Đất ở đô thị,2
Quận 2,"XUÂN THỦY, PHƯỜNG THẢO ĐIỀN",THẢO ĐIỀN - QUỐC HƯƠNG,11.000.000,5.500.000,4.400.000,3.520.000,-,Đất ở đô thị,2
Quận 2,"XUÂN THỦY, PHƯỜNG THẢO ĐIỀN",QUỐC HƯƠNG - NGUYỄN VĂN HƯỞNG,9.600.000,4.800.000,3.840.000,3.072.000,-,Đất ở đô thị,2
Quận 2,"ĐƯỜNG CHÍNH (ĐOẠN 1. DỰ ÁN FIDICO), LỘ GIỚI 12M - 17M, PHƯỜNG THẢO ĐIỀN","THẢO ĐIỀN, PHƯỜNG THẢO ĐIỀN - CUỐI ĐƯỜNG",7.400.000,3.700.000,2.960.000,2.368.000,-,Đất ở đô thị,2
Quận 2,"ĐƯỜNG NHÁNH CỤT (DỰ ÁN FIDICO), LỘ GIỚI 7M-12M, PHƯỜNG THẢO ĐIỀN",TRỌN ĐƯỜNG -,6.800.000,3.400.000,2.720.000,2.176.000,-,Đất ở đô thị,2
Quận 2,"AN PHÚ, PHƯỜNG AN PHÚ",XA LỘ HÀ NỘI - CUỐI ĐƯỜNG,9.200.000,4.600.000,3.680.000,2.944.000,-,Đất ở đô thị,2
Quận 2,"ĐẶNG TIẾN ĐÔNG, PHƯỜNG AN PHÚ",ĐOÀN HỮU TRƯNG - CUỐI ĐƯỜNG,6.600.000,3.300.000,2.640.000,2.112.000,-,Đất ở đô thị,2
Quận 2,"ĐỖ XUÂN HỢP, PHƯỜNG BÌNH TRƯNG ĐÔNG - AN PHÚ",NGUYỄN DUY TRINH - CẦU NAM LÝ,6.000.000,3.000.000,2.400.000,1.920.000,-,Đất ở đô thị,2
Quận 2,"ĐOÀN HỮU TRƯNG, PHƯỜNG AN PHÚ",TRỌN ĐƯỜNG -,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 51-AP,TRỌN ĐƯỜNG -,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 52-AP,TRỌN ĐƯỜNG -,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 53-AP,ĐƯỜNG 51-AP - ĐƯỜNG 59-AP,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 54-AP,THÂN VĂN NHIẾP - ĐƯỜNG 53-AP,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 55-AP,THÂN VĂN NHIẾP - ĐƯỜNG 59-AP,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 63-AP,ĐƯỜNG 57-AP - ĐƯỜNG 51-AP,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 57-AP,ĐƯỜNG 51-AP - CUỐI ĐƯỜNG,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 58-AP,ĐƯỜNG 51-AP - THÂN VĂN NHIẾP,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 59-AP,ĐƯỜNG 51-AP - THÂN VĂN NHIẾP,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 60-AP,ĐƯỜNG 51-AP - THÂN VĂN NHIẾP,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
Quận 2,ĐƯỜNG 61-AP,ĐƯỜNG 51-AP - ĐƯỜNG 53-AP,7.000.000,3.500.000,2.800.000,2.240.000,-,Đất ở đô thị,2
